author_id,final_first_name,final_last_name,first_top5_publication_year,years_since_first_publication,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ004883,Jon,Faust,1992,5,1991-1995,10.1086/262100,1,2,1 to 2,1992,1997,5
AFZ004883,Jon,Faust,1992,7,1991-1995,10.1111/1468-0262.00039,2,3,2 to 3,1997,1999,2
AFZ004907,Ernst,Fehr,1993,4,1991-1995,10.2307/2171941,1,2,1 to 2,1993,1997,4
AFZ004907,Ernst,Fehr,1993,6,1991-1995,10.1086/250052,2,3,2 to 3,1997,1999,2
AFZ004907,Ernst,Fehr,1993,6,1991-1995,10.1162/003355399556151,3,4,3 to 4,1999,1999,0
AFZ004907,Ernst,Fehr,1993,7,1991-1995,10.1257/aer.90.1.247,4,5,4 to 5,1999,2000,1
AFZ004907,Ernst,Fehr,1993,7,1991-1995,10.1257/aer.90.4.980,5,6,5 to 6,2000,2000,0
AFZ004907,Ernst,Fehr,1993,8,1991-1995,10.1257/aer.91.2.73,6,7,6 to 7,2000,2001,1
AFZ004907,Ernst,Fehr,1993,8,1991-1995,10.1257/aer.91.5.1239,7,8,7 to 8,2001,2001,0
AFZ004907,Ernst,Fehr,1993,11,1991-1995,10.1111/j.1468-0262.2004.00511.x,8,9,8 to 9,2001,2004,3
AFZ004915,Benjamin,Feigenberg,2013,8,2011-2015,10.1093/qje/qjab018,1,2,1 to 2,2013,2021,8
AFZ004921,Yossi,Feinberg,2004,2,2001-2005,10.1111/j.1467-937x.2006.00401.x,1,2,1 to 2,2004,2006,2
AFZ004921,Yossi,Feinberg,2004,4,2001-2005,10.1111/j.1468-0262.2008.00847.x,2,3,2 to 3,2006,2008,2
AFZ004948,Giulio,Fella,2014,6,2011-2015,10.1093/restud/rdae042,1,2,1 to 2,2014,2020,6
AFZ004952,Leonardo,Felli,1994,2,1991-1995,10.1086/262044,1,2,1 to 2,1994,1996,2
AFZ004952,Leonardo,Felli,1994,7,1991-1995,10.1111/1468-0262.00196,2,3,2 to 3,1996,2001,5
AFZ004959,Joseph,Felter,2011,2,2011-2015,10.1257/aer.103.3.512,1,2,1 to 2,2011,2013,2
AFZ004959,Joseph,Felter,2011,3,2011-2015,10.1257/aer.104.6.1833,2,3,2 to 3,2013,2014,1
AFZ004975,James,Fenske,2013,5,2011-2015,10.1086/701606,1,2,1 to 2,2013,2018,5
AFZ004992,Bruno,Ferman,2014,3,2011-2015,10.1093/qje/qjx048,1,2,1 to 2,2014,2017,3
AFZ004998,Jose,Fernandez,2013,4,2011-2015,10.1257/aer.p20171145,1,2,1 to 2,2013,2017,4
AFZ005001,R,Fernandez,2004,1,2001-2005,10.1162/qjec.2005.120.1.273; 10.1162/0033553053327498,1,2,1 to 2,2004,2005,1
AFZ005003,Rodrigo,Fernandez,1995,1,1991-1995,10.2307/2946660,1,2,1 to 2,1995,1996,1
AFZ005003,Rodrigo,Fernandez,1995,6,1991-1995,10.1162/003355301753265589,2,3,2 to 3,1996,2001,5
AFZ005006,Jesus,FernandezVillaverde,2005,2,2001-2005,10.1111/j.1467-937x.2007.00437.x,1,2,1 to 2,2005,2007,2
AFZ005006,Jesus,Fernandez-Villaverde,2005,2,2001-2005,10.1257/aer.97.3.1021,2,3,2 to 3,2007,2007,0
AFZ005006,Jesus,Fernandez-Villaverde,2005,5,2001-2005,10.1257/aer.100.2.35,3,4,3 to 4,2007,2010,3
AFZ005006,Jesus,Fernandez-Villaverde,2005,6,2001-2005,10.1257/aer.101.6.2530,4,5,4 to 5,2010,2011,1
AFZ005006,Jesus,Fernandez-Villaverde,2005,10,2001-2005,10.1257/aer.20121236,5,6,5 to 6,2011,2015,4
AFZ005030,Rosa,Ferrer,2011,6,2011-2015,10.1086/693686,1,2,1 to 2,2011,2017,6
AFZ005033,Joseph,Ferrie,2013,3,2011-2015,10.1093/qje/qjw014,1,2,1 to 2,2013,2016,3
AFZ005033,Joseph,Ferrie,2013,3,2011-2015,10.1257/aer.20140529,2,3,2 to 3,2016,2016,0
AFZ005033,Joseph,Ferrie,2013,9,2011-2015,10.1086/719757,3,4,3 to 4,2016,2022,6
AFZ005048,Philippe,Fevrier,2015,3,2011-2015,10.1093/restud/rdy064,1,2,1 to 2,2015,2018,3
AFZ005054,Erica,Field,2002,6,2001-2005,10.1086/593333,1,2,1 to 2,2002,2008,6
AFZ005054,Erica,Field,2002,6,2001-2005,10.1257/aer.98.2.505,2,3,2 to 3,2008,2008,0
AFZ005054,Erica,Field,2002,8,2001-2005,10.1162/qjec.2010.125.3.1349,3,4,3 to 4,2008,2010,2
AFZ005054,Erica,Field,2002,8,2001-2005,10.1257/aer.100.2.125,4,5,4 to 5,2010,2010,0
AFZ005054,Erica,Field,2002,11,2001-2005,10.1257/aer.103.6.2196,5,6,5 to 6,2010,2013,3
AFZ005059,Ana,Fieler,2011,4,2011-2015,10.1257/aer.p20151122,1,2,1 to 2,2011,2015,4
AFZ005059,Ana,Fieler,2011,7,2011-2015,10.1257/aer.20150796,2,3,2 to 3,2015,2018,3
AFZ005063,David,Figlio,2004,10,2001-2005,10.1257/aer.104.12.3921,1,2,1 to 2,2004,2014,10
AFZ005086,Gunther,Fink,2014,6,2011-2015,10.1257/aer.20180607,1,2,1 to 2,2014,2020,6
AFZ005086,Gunther,Fink,2014,8,2011-2015,10.1086/720466,2,3,2 to 3,2020,2022,2
AFZ005088,A,Finkelstein,2004,0,2001-2005,10.1162/0033553041382166,1,2,1 to 2,2004,2004,0
AFZ005088,Amy,Finkelstein,2004,1,2001-2005,10.1257/000282805774669808,2,3,2 to 3,2004,2005,1
AFZ005088,Amy,Finkelstein,2004,2,2001-2005,10.1257/000282806777211766,3,4,3 to 4,2005,2006,1
AFZ005088,Amy,Finkelstein,2004,2,2001-2005,10.1257/aer.96.4.938; 10.1257/000282806779468427,4,5,4 to 5,2006,2006,0
AFZ005088,A,Finkelstein,2004,3,2001-2005,10.1162/qjec.122.1.1,5,6,5 to 6,2006,2007,1
AFZ005088,Amy,Finkelstein,2004,4,2001-2005,10.1086/595014,6,7,6 to 7,2007,2008,1
AFZ005088,Amy,Finkelstein,2004,4,2001-2005,10.1257/aer.98.2.157,7,8,7 to 8,2008,2008,0
AFZ005088,Amy,Finkelstein,2004,4,2001-2005,10.1257/aer.98.3.1083,8,9,8 to 9,2008,2008,0
AFZ005088,Amy,Finkelstein,2004,5,2001-2005,10.1162/qjec.2009.124.3.969,9,10,9 to 10,2008,2009,1
AFZ005088,Amy,Finkelstein,2004,5,2001-2005,10.1257/aer.99.2.116,10,11,10 to 11,2009,2009,0
AFZ005088,Amy,Finkelstein,2004,6,2001-2005,10.1162/qjec.2010.125.3.877,11,12,11 to 12,2009,2010,1
AFZ005088,Amy,Finkelstein,2004,6,2001-2005,10.3982/ecta7245,12,13,12 to 13,2010,2010,0
AFZ005088,Amy,Finkelstein,2004,8,2001-2005,10.1257/aer.102.6.2606,13,14,13 to 14,2010,2012,2
AFZ005088,Amy,Finkelstein,2004,9,2001-2005,10.1257/aer.103.1.178,14,15,14 to 15,2012,2013,1
AFZ005088,Amy,Finkelstein,2004,10,2001-2005,10.1257/aer.104.5.322,15,16,15 to 16,2013,2014,1
AFZ005088,Amy,Finkelstein,2004,11,2001-2005,10.1093/qje/qjv005,16,17,16 to 17,2014,2015,1
AFZ005093,Gabriele,Fiorentini,2004,0,2001-2005,10.1111/j.1468-0262.2004.00541.x,1,2,1 to 2,2004,2004,0
AFZ005101,Urs,Fischbacher,2005,0,2001-2005,10.1257/000282805774669736,1,2,1 to 2,2005,2005,0
AFZ005101,Urs,Fischbacher,2005,1,2001-2005,10.1257/000282806777212594,2,3,2 to 3,2005,2006,1
AFZ005101,Urs,Fischbacher,2005,5,2001-2005,10.1257/aer.100.1.541,3,4,3 to 4,2006,2010,4
AFZ005101,U,Fischbacher,2005,6,2001-2005,10.1093/restud/rdr023,4,5,4 to 5,2010,2011,1
AFZ005106,Greg,Fischer,2013,2,2011-2015,10.1257/aer.p20151078,1,2,1 to 2,2013,2015,2
AFZ005106,Greg,Fischer,2013,6,2011-2015,10.1086/705374,2,3,2 to 3,2015,2019,4
AFZ005114,Price,Fishback,1995,1,1991-1995,10.1086/262029,1,2,1 to 2,1995,1996,1
AFZ005143,Raymond,Fisman,2001,3,2001-2005,10.1086/381476,1,2,1 to 2,2001,2004,3
AFZ005143,Raymond,Fisman,2001,5,2001-2005,10.1162/003355306776083482; 10.1093/qje/121.1.321; 10.1162/qjec.2006.121.1.321,2,3,2 to 3,2004,2006,2
AFZ005143,Raymond,Fisman,2001,5,2001-2005,10.1162/qjec.2006.121.2.673,3,4,3 to 4,2006,2006,0
AFZ005143,Raymond,Fisman,2001,6,2001-2005,10.1086/527495,4,5,4 to 5,2006,2007,1
AFZ005143,Raymond,Fisman,2001,6,2001-2005,10.1257/aer.97.2.153,5,6,5 to 6,2007,2007,0
AFZ005143,Raymond,Fisman,2001,6,2001-2005,10.1257/aer.97.5.1858,6,7,6 to 7,2007,2007,0
AFZ005143,Raymond,Fisman,2001,6,2001-2005,10.1257/aer.97.5.1921,7,8,7 to 8,2007,2007,0
AFZ005143,Raymond,Fisman,2001,7,2001-2005,10.1111/j.1467-937x.2007.00465.x,8,9,8 to 9,2007,2008,1
AFZ005143,Raymond,Fisman,2001,9,2001-2005,10.1257/aer.100.2.429,9,10,9 to 10,2008,2010,2
AFZ005143,Raymond,Fisman,2001,11,2001-2005,10.1093/restud/rds012,10,11,10 to 11,2010,2012,2
AFZ005148,Doireann,Fitzgerald,2012,11,2011-2015,10.1093/restud/rdad070,1,2,1 to 2,2012,2023,11
AFZ005210,Andrew,Foerster,2011,11,2011-2015,10.1086/720763,1,2,1 to 2,2011,2022,11
AFZ005216,Alessandra,Fogli,2004,7,2001-2005,10.3982/ecta7767,1,2,1 to 2,2004,2011,7
AFZ005221,Fritz,Foley,2005,1,2001-2005,10.1162/003355306776083482; 10.1093/qje/121.1.321; 10.1162/qjec.2006.121.1.321,1,2,1 to 2,2005,2006,1
AFZ005221,Fritz,Foley,2005,4,2001-2005,10.1162/qjec.2009.124.3.1171,2,3,2 to 3,2006,2009,3
AFZ005221,Fritz,Foley,2005,10,2001-2005,10.1086/681592,3,4,3 to 4,2009,2015,6
AFZ005235,Christian,Fons-Rosen,2012,7,2011-2015,10.1257/aer.20161574,1,2,1 to 2,2012,2019,7
AFZ005251,Chris,Forman,2012,4,2011-2015,10.1257/aer.p20161018,1,2,1 to 2,2012,2016,4
AFZ005265,Teresa,Fort,2015,1,2011-2015,10.1093/restud/rdw057,1,2,1 to 2,2015,2016,1
AFZ005265,Teresa,Fort,2015,2,2011-2015,10.1257/aer.20141685,2,3,2 to 3,2016,2017,1
AFZ005279,Andrew,Foster,1995,1,1991-1995,10.2307/2297887,1,2,1 to 2,1995,1996,1
AFZ005279,Andrew,Foster,1995,4,1991-1995,10.1086/250075,2,3,2 to 3,1996,1999,3
AFZ005279,Andrew,Foster,1995,7,1991-1995,10.1111/1467-937x.00228,3,4,3 to 4,1999,2002,3
AFZ005279,Andrew,Foster,1995,8,1991-1995,10.1162/003355303321675464,4,5,4 to 5,2002,2003,1
AFZ005281,Dean,Foster,1994,2,1991-1995,10.2307/2171927,1,2,1 to 2,1994,1996,2
AFZ005309,Andrey,Fradkin,2015,7,2011-2015,10.1257/aer.20180260,1,2,1 to 2,2015,2022,7
AFZ005310,Gianni,Fraja,2001,1,2001-2005,10.1111/1467-937x.00212,1,2,1 to 2,2001,2002,1
AFZ005321,Patrick,Francois,2003,0,2001-2005,10.1257/000282803322156972,1,2,1 to 2,2003,2003,0
AFZ005321,Patrick,Francois,2003,6,2001-2005,10.1111/j.1467-937x.2009.00571.x,2,3,2 to 3,2003,2009,6
AFZ005321,Patrick,Francois,2003,10,2001-2005,10.1093/qje/qjt014,3,4,3 to 4,2009,2013,4
AFZ005336,Alexander,Frankel,2014,1,2011-2015,10.1086/677350,1,2,1 to 2,2014,2015,1
AFZ005336,Alexander,Frankel,2014,4,2011-2015,10.1086/701604,2,3,2 to 3,2015,2018,3
AFZ005336,Alexander,Frankel,2014,5,2011-2015,10.1257/aer.20181897,3,4,3 to 4,2018,2019,1
AFZ005336,Alexander,Frankel,2014,7,2011-2015,10.3982/ecta15510,4,5,4 to 5,2019,2021,2
AFZ005336,Alexander,Frankel,2014,8,2011-2015,10.3982/ecta18589,5,6,5 to 6,2021,2022,1
AFZ005336,Alexander,Frankel,2014,10,2011-2015,10.1257/aer.20230430,6,7,6 to 7,2022,2024,2
AFZ005336,Alex,Frankel,2014,11,2011-2015,10.1257/aer.20231407,7,8,7 to 8,2024,2025,1
AFZ005356,Guillaume,Frechette,2005,6,2001-2005,10.1257/aer.101.1.411,1,2,1 to 2,2005,2011,6
AFZ005356,Guillaume,Frechette,2005,9,2001-2005,10.1093/restud/rdu029,2,3,2 to 3,2011,2014,3
AFZ005361,Peter,Fredriksson,2012,6,2011-2015,10.1257/aer.20160848,1,2,1 to 2,2012,2018,6
AFZ005381,Eric,French,2005,4,2001-2005,10.1257/aer.99.2.110,1,2,1 to 2,2005,2009,4
AFZ005381,Eric,French,2005,5,2001-2005,10.1086/651674,2,3,2 to 3,2009,2010,1
AFZ005381,Eric,French,2005,6,2001-2005,10.3982/ecta7560,3,4,3 to 4,2010,2011,1
AFZ005381,Eric,French,2005,7,2001-2005,10.1257/aer.102.7.3111,4,5,4 to 5,2011,2012,1
AFZ005381,Eric,French,2005,11,2001-2005,10.1257/aer.20140015,5,6,5 to 6,2012,2016,4
AFZ005433,Jane,Fruehwirth,2012,6,2011-2015,10.1086/701425,1,2,1 to 2,2012,2018,6
AFZ005437,Carola,Frydman,2015,2,2011-2015,10.1257/aer.20150143,1,2,1 to 2,2015,2017,2
AFZ005437,Carola,Frydman,2015,10,2011-2015,10.1086/739333,2,3,2 to 3,2017,2025,8
AFZ005441,Roland,Fryer,2004,1,2001-2005,10.1093/qje/120.2.551; 10.1162/0033553053970205,1,2,1 to 2,2004,2005,1
AFZ005441,Roland,Fryer,2004,2,2001-2005,10.1257/000282806777212198,2,3,2 to 3,2005,2006,1
AFZ005441,Roland,Fryer,2004,3,2001-2005,10.1162/qjec.122.2.441,3,4,3 to 4,2006,2007,1
AFZ005441,Roland,Fryer,2004,4,2001-2005,10.1257/aer.98.2.370,4,5,4 to 5,2007,2008,1
AFZ005441,Roland,Fryer,2004,7,2001-2005,10.1093/qje/qjr045,5,6,5 to 6,2008,2011,3
AFZ005441,Roland,Fryer,2004,8,2001-2005,10.1093/qje/qjs028,6,7,6 to 7,2011,2012,1
AFZ005441,Roland,Fryer,2004,9,2001-2005,10.1086/671180,7,8,7 to 8,2012,2013,1
AFZ005441,Roland,Fryer,2004,9,2001-2005,10.1257/aer.103.2.981,8,9,8 to 9,2013,2013,0
AFZ005441,Roland,Fryer,2004,9,2001-2005,10.1257/aer.103.3.232,9,10,9 to 10,2013,2013,0
AFZ005441,Roland,Fryer,2004,10,2001-2005,10.1093/qje/qju011,10,11,10 to 11,2013,2014,1
AFZ005441,Roland,Fryer,2004,11,2001-2005,10.1086/682718,11,12,11 to 12,2014,2015,1
AFZ005443,Chao,Fu,2012,2,2011-2015,10.1086/675503,1,2,1 to 2,2012,2014,2
AFZ005443,Chao,Fu,2012,3,2011-2015,10.1093/restud/rdv023,2,3,2 to 3,2014,2015,1
AFZ005443,Chao,Fu,2012,5,2011-2015,10.1093/restud/rdx068,3,4,3 to 4,2015,2017,2
AFZ005443,Chao,Fu,2012,7,2011-2015,10.1086/704573,4,5,4 to 5,2017,2019,2
AFZ005443,Chao,Fu,2012,7,2011-2015,10.3982/ecta14246,5,6,5 to 6,2019,2019,0
AFZ005452,Nicola,Fuchs-Schundeln,2005,2,2001-2005,10.1257/aer.97.4.1507,1,2,1 to 2,2005,2007,2
AFZ005452,Nicola,Fuchs-Schundeln,2005,3,2001-2005,10.1257/aer.98.5.1798,2,3,2 to 3,2007,2008,1
AFZ005462,Jeffrey,Fuhrer,1995,1,1991-1995,10.2307/2946712,1,2,1 to 2,1995,1996,1
AFZ005462,Jeffrey,Fuhrer,1995,5,1991-1995,10.1257/aer.90.3.367,2,3,2 to 3,1996,2000,4
AFZ005462,Jeffrey,Fuhrer,1995,7,1991-1995,10.1257/00028280260344579,3,4,3 to 4,2000,2002,2
AFZ005469,Thomas,Fujiwara,2015,1,2011-2015,10.1086/686746,1,2,1 to 2,2015,2016,1
AFZ005469,Thomas,Fujiwara,2015,2,2011-2015,10.1257/aer.20170029,2,3,2 to 3,2016,2017,1
AFZ005469,Thomas,Fujiwara,2015,4,2011-2015,10.1093/restud/rdz004,3,4,3 to 4,2017,2019,2
AFZ005503,Andreas,Fuster,2011,2,2011-2015,10.1257/aer.103.3.570,1,2,1 to 2,2011,2013,2
AFZ005503,Andreas,Fuster,2011,5,2011-2015,10.1257/aer.p20161086,2,3,2 to 3,2013,2016,3
AFZ005503,Andreas,Fuster,2011,7,2011-2015,10.1093/qje/qjy021,3,4,3 to 4,2016,2018,2
AFZ005503,Andreas,Fuster,2011,7,2011-2015,10.1093/restud/rdy038,4,5,4 to 5,2018,2018,0
AFZ005503,Andreas,Fuster,2011,9,2011-2015,10.1093/restud/rdaa076,5,6,5 to 6,2018,2020,2
AFZ005504,Luisa,Fuster,2003,4,2001-2005,10.1111/j.1467-937x.2007.00416.x,1,2,1 to 2,2003,2007,4
AFZ005525,P,Gagliardini,2011,1,2011-2015,10.3982/ecta7937,1,2,1 to 2,2011,2012,1
AFZ005525,Patrick,Gagliardini,2011,5,2011-2015,10.3982/ecta11069,2,3,2 to 3,2012,2016,4
AFZ005525,Patrick,Gagliardini,2011,8,2011-2015,10.3982/ecta14690,3,4,3 to 4,2016,2019,3
AFZ005559,Manolis,Galenianos,2012,5,2011-2015,10.1257/aer.20150540,1,2,1 to 2,2012,2017,5
AFZ005564,Jordi,Gali,1992,5,1991-1995,10.1111/1467-937x.00109,1,2,1 to 2,1992,1997,5
AFZ005564,Jordi,Gali,1992,7,1991-1995,10.1257/aer.89.1.249,2,3,2 to 3,1997,1999,2
AFZ005564,Jordi,Gali,1992,8,1991-1995,10.1162/003355300554692,3,4,3 to 4,1999,2000,1
AFZ005564,Jordi,Gali,1992,9,1991-1995,10.1257/aer.91.2.248,4,5,4 to 5,2000,2001,1
AFZ005565,Sebastian,Galiani,2005,10,2001-2005,10.1257/aer.20120737,1,2,1 to 2,2005,2015,10
AFZ005580,Giovanni,Gallipoli,2012,2,2011-2015,10.1093/restud/rdu014,1,2,1 to 2,2012,2014,2
AFZ005580,Giovanni,Gallipoli,2012,6,2011-2015,10.1086/702241,2,3,2 to 3,2014,2018,4
AFZ005586,Simone,Galperti,2015,2,2011-2015,10.3982/ecta13937,1,2,1 to 2,2015,2017,2
AFZ005586,Simone,Galperti,2015,4,2011-2015,10.1257/aer.20161441,2,3,2 to 3,2017,2019,2
AFZ005586,Simone,Galperti,2015,8,2011-2015,10.1093/qje/qjac045,3,4,3 to 4,2019,2023,4
AFZ005586,Simone,Galperti,2015,8,2011-2015,10.1093/restud/rdad044,4,5,4 to 5,2023,2023,0
AFZ005597,Li,Gan,2003,2,2001-2005,10.1257/000282805774669583,1,2,1 to 2,2003,2005,2
AFZ005644,Camilo,Garcia-Jimeno,2015,1,2011-2015,10.3982/ecta11117,1,2,1 to 2,2015,2016,1
AFZ005644,Camilo,Garcia-Jimeno,2015,7,2011-2015,10.1257/aer.20180124,2,3,2 to 3,2016,2022,6
AFZ005648,Monica,Garcia-Perez,2013,3,2011-2015,10.1257/aer.p20161110,1,2,1 to 2,2013,2016,3
AFZ005663,Pietro,Garibaldi,2005,5,2001-2005,10.1257/aer.100.2.343,1,2,1 to 2,2005,2010,5
AFZ005668,Nicolae,Garleanu,2004,3,2001-2005,10.1257/aer.97.2.193,1,2,1 to 2,2004,2007,3
AFZ005668,Nicolae,Garleanu,2004,11,2001-2005,10.1086/680996,2,3,2 to 3,2007,2015,8
AFZ005668,Nicolae,Garleanu,2004,11,2001-2005,10.1257/aer.20131076,3,4,3 to 4,2015,2015,0
AFZ005675,Daniel,Garrett,2012,4,2011-2015,10.1257/aer.20130564,1,2,1 to 2,2012,2016,4
AFZ005675,Daniel,Garrett,2012,6,2011-2015,10.1093/restud/rdy072,2,3,2 to 3,2016,2018,2
AFZ005675,Daniel,Garrett,2012,10,2011-2015,10.1093/restud/rdac035,3,4,3 to 4,2018,2022,4
AFZ005675,Daniel,Garrett,2012,11,2011-2015,10.3982/ecta18742,4,5,4 to 5,2022,2023,1
AFZ005681,Claudine,Gartenberg,2015,4,2011-2015,10.1093/restud/rdz034,1,2,1 to 2,2015,2019,4
AFZ005682,Craig,Garthwaite,2014,2,2011-2015,10.1257/aer.20141301,1,2,1 to 2,2014,2016,2
AFZ005695,Gerard,Gaudet,1991,10,1991-1995,10.1257/aer.91.4.1149,1,2,1 to 2,1991,2001,10
AFZ005703,PIETER,GAUTIER,2001,5,2001-2005,10.1111/j.1467-937x.2006.00400.x,1,2,1 to 2,2001,2006,5
AFZ005703,Pieter,Gautier,2001,8,2001-2005,10.1111/j.1467-937x.2009.00565.x,2,3,2 to 3,2006,2009,3
AFZ005737,Jonah,Gelbach,2002,1,2001-2005,10.1257/000282803321947227,1,2,1 to 2,2002,2003,1
AFZ005737,Jonah,Gelbach,2002,2,2001-2005,10.1086/422560,2,3,2 to 3,2003,2004,1
AFZ005737,Jonah,Gelbach,2002,4,2001-2005,10.1257/000282806779468535; 10.1257/aer.96.4.988,3,4,3 to 4,2004,2006,2
AFZ005738,Alexander,Gelber,2011,4,2011-2015,10.1093/qje/qjv034,1,2,1 to 2,2011,2015,4
AFZ005738,Alexander,Gelber,2011,11,2011-2015,10.1086/720467,2,3,2 to 3,2015,2022,7
AFZ005746,David,Genesove,1993,2,1991-1995,10.2307/2118509,1,2,1 to 2,1993,1995,2
AFZ005746,D,Genesove,1993,8,1991-1995,10.1162/003355301753265561,2,3,2 to 3,1995,2001,6
AFZ005746,David,Genesove,1993,8,1991-1995,10.1257/aer.91.3.379,3,4,3 to 4,2001,2001,0
AFZ005747,Garance,Genicot,2003,4,2001-2005,10.1257/aer.97.2.65,1,2,1 to 2,2003,2007,4
AFZ005752,Matthew,Gentry,2014,8,2011-2015,10.1093/restud/rdac030,1,2,1 to 2,2014,2022,8
AFZ005752,Matthew,Gentry,2014,11,2011-2015,10.1093/restud/rdaf016,2,3,2 to 3,2022,2025,3
AFZ005759,Lisa,George,2003,3,2001-2005,10.1257/000282806776157551,1,2,1 to 2,2003,2006,3
AFZ005763,George,Georgiadis,2014,6,2011-2015,10.3982/ecta16475,1,2,1 to 2,2014,2020,6
AFZ005763,George,Georgiadis,2014,8,2011-2015,10.1093/restud/rdac074,2,3,2 to 3,2020,2022,2
AFZ005763,George,Georgiadis,2014,8,2011-2015,10.1257/aer.20200732,3,4,3 to 4,2022,2022,0
AFZ005763,George,Georgiadis,2014,10,2011-2015,10.3982/ecta21383,4,5,4 to 5,2022,2024,2
AFZ005763,George,Georgiadis,2014,11,2011-2015,10.3982/ecta21871,5,6,5 to 6,2024,2025,1
AFZ005783,Shelby,Gerking,2002,5,2001-2005,10.1257/aer.97.3.1032,1,2,1 to 2,2002,2007,5
AFZ005800,Paul,Gertler,1992,10,1991-1995,10.1086/338744,1,2,1 to 2,1992,2002,10
AFZ005800,Paul,Gertler,1992,10,1991-1995,10.1257/000282802760015603,2,3,2 to 3,2002,2002,0
AFZ005801,Robert,Gertner,1993,0,1991-1995,10.2307/2297813,1,2,1 to 2,1993,1993,0
AFZ005801,Robert,Gertner,1993,1,1991-1995,10.2307/2118361,2,3,2 to 3,1993,1994,1
AFZ005801,R,Gertner,1993,1,1991-1995,10.2307/2118416,3,4,3 to 4,1994,1994,0
AFZ005817,Maitreesh,Ghatak,2001,0,2001-2005,10.1162/003355301753265598,1,2,1 to 2,2001,2001,0
AFZ005817,Maitreesh,Ghatak,2001,1,2001-2005,10.1086/338744,2,3,2 to 3,2001,2002,1
AFZ005817,Maitreesh,Ghatak,2001,4,2001-2005,10.1257/0002828054201413,3,4,3 to 4,2002,2005,3
AFZ005817,Maitreesh,Ghatak,2001,7,2001-2005,10.1257/aer.98.2.206,4,5,4 to 5,2005,2008,3
AFZ005817,Maitreesh,Ghatak,2001,11,2001-2005,10.1093/qje/qjr056,5,6,5 to 6,2008,2012,4
AFZ005824,Paolo,Ghirardato,2003,9,2001-2005,10.3982/ecta9367,1,2,1 to 2,2003,2012,9
AFZ005825,Fabio,Ghironi,2005,2,2001-2005,10.1086/665825,1,2,1 to 2,2005,2007,2
AFZ005825,Fabio,Ghironi,2005,2,2001-2005,10.1257/aer.97.2.356,2,3,2 to 3,2007,2007,0
AFZ005845,Mariassunta,Giannetti,2012,9,2011-2015,10.1086/713731,1,2,1 to 2,2012,2021,9
AFZ005856,Michael,Gibbs,1994,0,1991-1995,10.2307/2118352,1,2,1 to 2,1994,1994,0
AFZ005868,Stefano,Giglio,2011,3,2011-2015,10.1093/qje/qju036,1,2,1 to 2,2011,2014,3
AFZ005868,Stefano,Giglio,2011,5,2011-2015,10.3982/ecta13447,2,3,2 to 3,2014,2016,2
AFZ005868,Stefano,Giglio,2011,6,2011-2015,10.1093/qje/qjx034,3,4,3 to 4,2016,2017,1
AFZ005868,Stefano,Giglio,2011,8,2011-2015,10.1093/restud/rdz010,4,5,4 to 5,2017,2019,2
AFZ005868,Stefano,Giglio,2011,10,2011-2015,10.1086/714090,5,6,5 to 6,2019,2021,2
AFZ005868,Stefano,Giglio,2011,10,2011-2015,10.1257/aer.20200243,6,7,6 to 7,2021,2021,0
AFZ005880,Simon,Gilchrist,1994,6,1991-1995,10.1086/317673,1,2,1 to 2,1994,2000,6
AFZ005883,David,Gill,2012,4,2011-2015,10.1086/688849,1,2,1 to 2,2012,2016,4
AFZ005883,David,Gill,2012,10,2011-2015,10.1086/720460,2,3,2 to 3,2016,2022,6
AFZ005921,Julian,Giovanni,2012,2,2011-2015,10.3982/ecta11041,1,2,1 to 2,2012,2014,2
AFZ005921,Julian,Giovanni,2012,4,2011-2015,10.1257/aer.20160251,2,3,2 to 3,2014,2016,2
AFZ005921,Julian,Giovanni,2012,5,2011-2015,10.1257/aer.p20171006,3,4,3 to 4,2016,2017,1
AFZ005921,Julian,Giovanni,2012,6,2011-2015,10.1257/aer.20160091,4,5,4 to 5,2017,2018,1
AFZ005921,Julian,Giovanni,2012,9,2011-2015,10.1093/restud/rdab044,5,6,5 to 6,2018,2021,3
AFZ005924,Xavier,Giroud,2011,5,2011-2015,10.1093/qje/qjw035,1,2,1 to 2,2011,2016,5
AFZ005924,Xavier,Giroud,2011,7,2011-2015,10.1086/701357,2,3,2 to 3,2016,2018,2
AFZ005924,Xavier,Giroud,2011,8,2011-2015,10.1257/aer.20170346,3,4,3 to 4,2018,2019,1
AFZ005935,Paola,Giuliano,2011,2,2011-2015,10.1093/qje/qjt005,1,2,1 to 2,2011,2013,2
AFZ005935,Paola,Giuliano,2011,2,2011-2015,10.1093/restud/rdt040,2,3,2 to 3,2013,2013,0
AFZ005935,Paola,Giuliano,2011,2,2011-2015,10.1257/aer.103.3.86,3,4,3 to 4,2013,2013,0
AFZ005935,Paola,Giuliano,2011,9,2011-2015,10.1093/restud/rdaa074,4,5,4 to 5,2013,2020,7
AFZ005943,Edward,Glaeser,1992,0,1991-1995,10.1086/261856,1,2,1 to 2,1992,1992,0
AFZ005943,Edward,Glaeser,1992,3,1991-1995,10.2307/2118515,2,3,2 to 3,1992,1995,3
AFZ005943,Edward,Glaeser,1992,4,1991-1995,10.1086/250109,3,4,3 to 4,1995,1996,1
